protein,IHD,CM,ARR,VD,CHD,CCD,VOO,OTH
UniRef90_P26231,0.018597881,0.022018976,0,0,0.016588479,0,0,0.017844307
UniRef90_Q9QXN3,0,0,0,0,0,0,0,0.004821501
UniRef90_Q7M6Z3,0,0.004681188,0.021585096,0.022453938,0.011592755,0,0,0
UniRef90_E9QNY9,0,0.009363822,0,0.005110295,0.004993088,0,0,0.009643426
UniRef90_P35979,0.004548762,0,0,0.005110345,0.004993137,0,0,0.004821471
UniRef90_A0A2J8IKR4,0.007208701,0.024230346,0,0.005109564,0.00791304,0,0,0.011194352
UniRef90_Q4R6D2,0.012771521,0,0,0,0,0,0,0.007641885
UniRef90_Q9R0P9,0.037831553,0.026021155,0.015315052,0,0.021911607,0,0,0.019690446
UniRef90_Q86W61,0.022083042,0.018268628,0.018877725,0.017658792,0.037814018,0,0,0.016656745
UniRef90_A0A3B4CDX0,0.004548792,0,0,0,0,0,0,0
UniRef90_A0A2I3GT19,0.0684109,0.081916063,0.067996306,0.036301576,0.032994278,0.05385897,0.025942016,0.065421227
UniRef90_A0A087X279,0.011758432,0.021192411,0.004837139,0,0.007913264,0,0,0.007641328
UniRef90_D3ZGD0,0.004548772,0,0.004837649,0,0.004993148,0,0,0
UniRef90_Q8NFD5,0,0,0,0.00809899,0.022607363,0,0,0
UniRef90_Q4V7E8,0.009097778,0,0,0,0,0,0,0
UniRef90_Q6QME8,0.030328561,0.036345238,0.013552129,0.014317385,0.014948261,0,0.005532702,0.022079434
UniRef90_Q15041,0,0.004681851,0,0,0.004993159,0,0,0
UniRef90_H3BNN5,0.004548325,0.022512985,0.021891104,0,0.009986003,0,0,0
UniRef90_F8WE11,0.01859012,0.024775053,0.013574881,0.020894222,0.021214827,0,0,0.023440627
UniRef90_I3L1Y5,0.020864409,0.024606153,0.014506079,0.018907499,0.020414608,0.010488261,0.015564272,0.020483318
UniRef90_Q5DTX6,0.035009426,0.009350718,0,0,0,0,0,0.019269115
UniRef90_O75976,0.035155623,0.033895518,0.02368634,0.021646245,0.030398427,0.019913804,0.016579543,0.031039406
UniRef90_A0A6J0D5P0,0.024210622,0.027905686,0.027191153,0.0102058,0.018993527,0.028710166,0,0.028271643
UniRef90_P61022,0.045897451,0.030888031,0.030083225,0.01422467,0.032496238,0.008244719,0,0.038283595
UniRef90_F1LML2,0.032941875,0.024013144,0.016047183,0.024010621,0.030361857,0.013543109,0,0.021792103
UniRef90_I3LIE3,0.01276038,0.034692874,0.007661091,0,0.021203081,0.008310139,0,0.035491059
UniRef90_E9PFF5,0,0.019526152,0.019352799,0.020444837,0,0.020998596,0,0
UniRef90_A0A0U1RNN9,0.010562323,0.014843052,0,0,0.007913893,0,0,0
UniRef90_A0A286ZSR3,0.012769855,0.019902393,0,0,0,0,0,0.01528634
UniRef90_Q8IUR7,0.004548792,0,0,0,0,0,0,0
UniRef90_M3VUY5,0,0,0.004837665,0,0,0,0,0
UniRef90_Q15119,0.017319334,0.024427243,0.014509623,0.005108528,0.004991361,0,0.005543814,0.018843314
UniRef90_F1S1A9,0.031793566,0.022745502,0,0.014333033,0.01581435,0,0,0.016666785
UniRef90_A0A7I2V2J1,0.032448905,0.033180745,0.014476355,0.020401607,0.017857019,0,0.005530271,0.030560262
UniRef90_Q8BS97,0.023130436,0.019865591,0.019327296,0.017655908,0.038032094,0,0,0.017259054
UniRef90_H0X9E9,0.016309891,0.016787515,0.004836497,0.014346255,0.009984836,0,0,0.021192389
UniRef90_P00167,0.014419991,0.018297814,0,0,0.015829262,0,0,0.015286059
UniRef90_Q14919,0.019326425,0,0,0,0,0,0,0
UniRef90_Q96C23,0.004548746,0,0,0,0.012907975,0,0,0
UniRef90_H0YF33,0.007209504,0,0,0.008099687,0.004992999,0,0.008790175,0.011195755
UniRef90_Q5VYK3,0,0.009364066,0,0,0,0,0,0.009643447
UniRef90_A0A5S6HMR6,0.044680332,0.041907087,0.037542868,0.031504136,0.03855726,0.021537414,0,0.035359084
UniRef90_P97370,0.013648588,0,0,0,0,0,0,0
UniRef90_A0A5G2R584,0.012771301,0,0.004837499,0,0.016588804,0,0,0
UniRef90_E9Q9B7,0,0,0.007667664,0,0,0,0,0
UniRef90_A0A286ZMU5,0,0,0.012506139,0,0,0,0,0
UniRef90_A0A5F4DF83,0.019332184,0,0.007667191,0,0,0,0,0
UniRef90_P61026,0.014420116,0.007420044,0,0.011865824,0.020416792,0,0,0.007641373
UniRef90_P36578,0.036719129,0.033745989,0.019754032,0,0.011576779,0,0,0.022369515
UniRef90_P19484-2,0.027569347,0.041878569,0.007639594,0.03089166,0.012861991,0,0.012832241,0.026111578
UniRef90_Q9UEY8,0.015112831,0.00468176,0.004837566,0,0,0,0,0
UniRef90_M3YGL9,0.004548773,0.004681841,0,0.005110357,0,0,0,0
UniRef90_Q92626-2,0.009097556,0.017830699,0,0,0.00499293,0,0,0.004821271
UniRef90_R4GMQ7,0.004548779,0.007420653,0,0,0,0,0,0
UniRef90_A0A2K6QMQ5,0.010532435,0.020195373,0.031049843,0.011833858,0.019934479,0.029681589,0,0.02737008
UniRef90_Q9CWD8,0,0.014835883,0.022476543,0,0.024755585,0.024406268,0,0.007638101
UniRef90_W5Q0Y9,0,0,0,0,0,0,0,0.009643276
UniRef90_A0A091M695,0.011759378,0.012103808,0,0.005110131,0.007913919,0,0,0.007641796
UniRef90_M0QXC3,0,0,0,0,0,0,0,0.004821501
UniRef90_P62829,0.034873032,0.018727115,0,0,0,0,0,0.017283802
UniRef90_Q8BTG7,0.024659671,0.024888912,0.031621065,0,0.019946518,0.030041353,0,0.027493755
UniRef90_H0Y9J5,0,0.004681802,0,0,0,0,0,0.014465714
UniRef90_A0A0D9S184,0.004548784,0,0,0,0,0,0,0.004821494
UniRef90_F1RI72,0,0,0,0.005110372,0,0,0,0
UniRef90_P57772,0,0,0,0,0,0,0,0.014465735
UniRef90_P29474,0.072975637,0.066143006,0.038685058,0.044116926,0.046127523,0.030230325,0.025710255,0.05658525
UniRef90_Q3UW53,0,0.007420606,0,0,0.007914059,0,0,0.007641952
UniRef90_Q9NZJ6,0.015737793,0.016197286,0,0,0.015830131,0,0,0.01668075
UniRef90_I3LCK3,0.031213373,0.035060635,0.012447435,0.027841504,0.035521192,0,0.023484541,0.035564455
UniRef90_O54824,0.015739849,0.01314507,0.007667175,0,0,0,0,0.009642937
UniRef90_P50116,0.033173894,0.032230139,0.004821844,0.030937951,0.013973027,0,0.032464075,0.021128183
UniRef90_Q8N5J2,0,0.007420662,0,0,0,0,0,0
UniRef90_P26928,0.042941471,0.045552394,0.025671987,0.014185598,0.007823777,0.005187376,0,0.03932599
UniRef90_A0A087WWY6,0.044201361,0.043453231,0.021006483,0.019730204,0.013845629,0.013399326,0.018956903,0.042327025
UniRef90_J3KRV2,0.007209832,0,0,0,0,0,0,0
UniRef90_O15127,0.012770685,0,0,0,0,0,0,0.009643199
UniRef90_I3L5B2,0,0.004681815,0,0,0.007914054,0,0,0.007642091
UniRef90_W5PE36,0.004548792,0,0,0,0,0,0,0
UniRef90_Q8K0D5,0.024239493,0.025746849,0.004835632,0.005108226,0.014013886,0,0,0.009639521
UniRef90_Q62786,0.004548732,0,0,0.008099857,0.007914028,0,0,0.007641922
UniRef90_K7GN83,0.00454876,0,0.009675687,0,0,0,0,0
UniRef90_E7EVA0,0.031574984,0.037540574,0.02371767,0.016008588,0.050956148,0,0.014165908,0.03945373
UniRef90_F8VPL5,0.00909794,0.007420639,0.00483757,0.005110273,0.007913969,0,0,0
UniRef90_A0A5G2R4E3,0.013648276,0.012103393,0.004837462,0,0,0,0,0.009642899
